 Cannes 2 ;  11-13 avenue St Louis 06400 CANNES 
 Gap ;  Foyer des Jeunes Travailleurs 73 bd Georges Pompidou 05000 GAP 
 Echiquier Nicois 2 ;  Maison des Associations 9 rue Ernest Lairolle 06100 NICE 
 Le Cannet ;  Maison des Associations zac des Mimosas bd de la Republique 06110 LE CANNET  
 Monaco 2 ;  5 rue des Oliviers 98000 MONACO 
 Marseille Echecs 2 ;  7 rue Papety 13007 MARSEILLE 
 Frejus ;  Maison des Associations avenue de Verdun 83600 FREJUS 
 Cagnes sur Mer ;  Centre Commercial 2.domaine du Loup entre la Gare Sncf de Cagnes et l'Entree Autoroute Vers A 06800 CAGNES SUR MER 
 Grasse 2 ;  Ecole Pra d'Estang quartier St Claude chemin des Capucins 06130 GRASSE 
 La Farlede Toulon ;  Maisons des Associations toulon Ou salle Polyvalente - la Farlede 
 Echiquier Marseillais 1872 ;  Centre d'Animation 6-8 rue Senac 13001 MARSEILLE 
 Montpellier 3 ;  Tour de la Babote - 1 boulevard Victor Hugo Nord 34000 MONTPELLIER 
 Meyreuil ;  Centre Administratif et Social avenue Jean Petit 13590 MEYREUIL LE PLAN 
 Lattes ;  Salle Rimini rue Bramante lattes Port Ariane 34970 LATTES 
 Martigues ;  Stade Julien Olive club House bd Marcel Ginnoux 13500 MARTIGUES 
 Istres-Fos ;  Mpt Jas de Gouin Fos 
 Monteux ;  Maison des Associations 55 boulevard de Trewey 84170 MONTEUX 
 Vitrolles 2 ;  Mille Clubs du Roucas maison de Quartier du Roucas rue Roumanille tel 04 42 79 14 62 13127 VITROLLES 
 Avignon ;  Maison Manon 12 place des Carmes 84000 AVIGNON 
 Echiquier Orangeois 2 ;  85 avenue Frederic Mistral 84100 ORANGE 
 Toulouse Lardenne ;  30 rue Jean d'Alembert 31100 TOULOUSE 
 Carcassonne 2 ;  MJC Carcassonne Ou Salle Voutee 2 sur Parking MJC 91 rue Aime Ramon Ou Derriere 6 rue Arago 11000 CARCASSONNE 
 Castelsarrasin ;  2 rue du Soleil 82100 CASTELSARRASIN 
 Beziers ;  M.J.C. 13 a boulevard Duguesclin 34500 BEZIERS 
 Frontignan ;  Maison des Seniors Vincent Giner 30 avenue Anatole France 34110 FRONTIGNAN 
 Colomiers 2 ;  Salle Municipale 1 place Leo Lagrange Ex place du Val d'Aran 31770 COLOMIERS 
 Canohes ;  Ecole Julien Panchot 1 rue des Ecoles 66680 CANOHES 
 Montpellier - Ech du Dragon ;  MJC Centre Andre Malraux 10 avenue de la Moutte 34170 CASTELNAU LE LEZ 
 Albi ;  7 rue des Muettes 81000 ALBI 
 Loures-Barousse ;  Salle Bleue mairie 65370 LOURES BAROUSSE 
 U.S.B. Bordeaux Echecs ;  Union Saint Bruno 49 rue Brizard 33000 BORDEAUX 
 Echiquier Bordelais 2 ; 
 Auch ;  Immeuble des Cordeliers Rdc salle Alphonse Lloret salle des Fetes d'Embats 32000 AUCH 
 Creon ;  Centre Culturel mairie de Creon 33670 CREON 
 Bordeaux A.S.P.O.M. ;  Salle 9 131 bis rue Amedee Saint germain 33800 BORDEAUX 
 Mont-De-Marsan ;  Maison des Associations 22-24 boulevard de Candau 40000 MONT DE MARSAN 
 Cote Basque - Bayonne ;  Primaire Jules Ferry quartier Saint Esprit 6 rue Denis Etcheverry 64100 BAYONNE 
 Pau Henri IV 2 ;  2-4 place de la Republique 64000 PAU 
 Bayonne Adour ;  Ecole du Petit-Bayonne 7 rue Jacques Laffitte 64100 BAYONNE 
 Couzeix Chess Club ;  Complexe Sportif de Couzeix salle le Club House allee du Stade 87270 COUZEIX 
 Chateauroux ;  Mlc Belle Isle 7 avenue Daniel Bernardet 36000 CHATEAUROUX 
 Poitiers-Migne Echecs 2 ;  Centre Socioculturel la Comberie 86440 MIGNE AUXANCES 
 Limoges 2 ;  Faculte des Sciences et Techniques batiment B 123 avenue Albert Thomas 87100 LIMOGES 
 Niort ;  49 rue de Ribray 79000 NIORT 
 Tours 2 ;  3 rue Moliere 37000 TOURS 
 Les Sables d'Olonne ; 
 Getigne ;  Salle de la Butte 44190 GETIGNE 
 Rois et Dames des 3 Cites - Poitiers ;  Clos Gauthier 1 place Leon Jouhaux 86000 POITIERS 
 La Roche sur Yon ;  Residence de Bretagne rue de Bretagne 85000 LA ROCHE SUR YON 
 Blois ;  Ecole de Villejoint 65 rue Leon Fournier et Salle Dorgeles rue Roland Dorgeles 41000 BLOIS 
 Gorges Clisson ;  Centre Associatif Mairie de Gorges 44190 GORGES 
 Betton ;  Espace Anita Conti rue du Tregor l'Angle rue de la Cote d'Emeraude 35830 BETTON 
 Brest Usam 2 ;  Mpt de Saint Pierre 25 rue Victor Eusen rez-De-Jardin 29200 BREST 
 Arradon ;  Cantine Municipale 56610 ARRADON 
 C.E. Nantes ;  20 rue du Coudray Entree Par la rue du Tyrol Face au GymnasE. Plan d'Acces sur le SitE. 44000 NANTES 
 Rennes Paul Bert 2 ;  Cpb Centre 30 bis rue de Paris 35000 RENNES 
 Domloup 2 ;  Salle Caissa rue du Petit Bois 35410 DOMLOUP 
 Guingamp 2 ;  Centre Culturel place du Champ au Roy 22200 GUINGAMP 
 Dinard ;  2 bis rue Henri Dunant  29 rue Gouyon Matignon C O S E C 35800 DINARD 
 Caen Alekhine 1 ;  84 avenue de Thies calvaire Saint Pierre 14000 CAEN 
 Orbec ;  Salle des Reunions rue des Augustines 14290 ORBEC 
 Saint-Hilaire-Petitville ; 
 Le Vesinet 2 ;  Maison du Combattant 11 rue du General Clavery place de la Gare 78110 le Vesinet 78110 LE VESINET 
 Mantes en Yvelines ;  Espace de la Mare Pasloue salle Rodin rue de la Mare Pasloue 78200 MAGNANVILLE 
 Caen Alekhine 2 ;  84 avenue de Thies calvaire Saint Pierre 14000 CAEN 
 Agneaux Saint-Lo 2 ;  Salle Charles de Gaulle place de la Paliere 50180 AGNEAUX 
 Saint-Thomas - le Havre 2 ;  Association Saint Thomas 39 rue Louis Delamare 76600 LE HAVRE 
 Maisons-Laffitte ;  Centre Sportif et Culturel 99 rue de la Muette 78600 MAISONS LAFFITTE 
 Equeurdreville ;  Ecole Jean Goubert rue des Resistants 50120 EQUEURDREVILLE HAINNEVILLE 
 Carrieres sur Seine ;  Salle Rouget de Lisle 9 impasse Paul Bert  78420 CARRIERES SUR SEINE 
 Bihorel ;  Centre Social Etienne Pernet 59 rue des Canadiens 76420 BIHOREL 
 Louviers ;  Foyer Quemin cour de la Mairie rue Pierre Mendes-France 27400 LOUVIERS 
 Issy-Les-Moulineaux 4 ;  MJC Espace Icare 1er Etage 31 boulevard Gambetta 100m du Metro Corentin Celton 92130 ISSY LES MOULINEAUX 
 Enghien-Les-Bains ;  93 boulevard du General De gaulle 95880 ENGHIEN LES BAINS 
 Beauvais ;  Variable contacter Dominique Ruin Avant la Rencontre 60000 BEAUVAIS 
 Saint-Thomas - le Havre 1 ;  Association Saint Thomas 39 rue Louis Delamare 76600 LE HAVRE 
 Le Fresne-Conches 1 ;  Pole Culturel - Mediatheque 14 rue Jacques Villon salle 21 27190 CONCHES EN OUCHE 
 Drancy 3 ;  26 rue Baudin 93700 DRANCY 
 Dieppe ;  Residence Rpa 9 Grande rue du Pollet 76200 DIEPPE 
 Montreuil 2 ;  Centre Jean Lurcat 5 place du Marche 93100 MONTREUIL 